,Name,WebsiteNew,StatusCodeNew,Notes,CleanName
72,Thai Thai,http://www.thaithaifoodtruck.com/index.html,200,,Thai_Thai
73,Tlaxiaco?s Pizza,NONE,-2,,Tlaxiacos_Pizza
74,Twister Food Truck,https://twisterfoodtruck.square.site/,200,,Twister_Food_Truck
75,Waffle Amore,https://waffleamore.com/,200,,Waffle_Amore
76,West Poke (Akita #2),https://www.akitagourmet.com,200,,West_Poke_(Akita_2)
77,Zaida's Kitchen,NONE,-2,,Zaidas_Kitchen
78,Chubby's Hot Chick'n Sandos,https://www.chubbyschickn.com/#/,200,,Chubbys_Hot_Chickn_Sandos
79,CrispBee Chicken,NONE,-2,,CrispBee_Chicken
80,Bhangs Sandos,NONE,-2,,Bhangs_Sandos
81,Bird's Alley,NONE,-2,,Birds_Alley
82,Chick N' Bros,NONE,-2,,Chick_N_Bros
83,Scratch Cookery,https://eat.chat/scratchsj,200,,Scratch_Cookery
84,Chikin Drip,NONE,-2,,Chikin_Drip
85,Eco Pro Cleaning,NONE,-2,,Eco_Pro_Cleaning
86,Pono Hawaiian,NONE,-2,,Pono_Hawaiian
